condition,condition_group,age_group,year,month,condition_n,condition_group_n,age_group_n,group_by_organ,COVID_deaths_rate,NON_COVID_deaths_rate_Female,NON_COVID_deaths_rate_male,NON_COVID_death_rate,Total_death,COVID_propotion
All other conditions and causes (residual),All other conditions and causes (residual),0-24,2020,1,1,2,1,7,0,111,129,240,240,0%
All other conditions and causes (residual),All other conditions and causes (residual),25-34,2020,1,1,2,2,7,0,41,41,82,82,0%
All other conditions and causes (residual),All other conditions and causes (residual),35-44,2020,1,1,2,3,7,0,29,46,75,75,0%
All other conditions and causes (residual),All other conditions and causes (residual),45-54,2020,1,1,2,4,7,0,65,97,162,162,0%
All other conditions and causes (residual),All other conditions and causes (residual),55-64,2020,1,1,2,5,7,0,104,178,282,282,0%
All other conditions and causes (residual),All other conditions and causes (residual),65-74,2020,1,1,2,6,7,0,145,217,362,362,0%
All other conditions and causes (residual),All other conditions and causes (residual),75-84,2020,1,1,2,7,7,0,256,237,493,493,0%
All other conditions and causes (residual),All other conditions and causes (residual),85+,2020,1,1,2,8,7,0,706,319,1025,1025,0%
Alzheimer disease,Alzheimer disease,0-24,2020,1,2,3,1,3,0,0,0,0,0,0%
Alzheimer disease,Alzheimer disease,25-34,2020,1,2,3,2,3,0,0,0,0,0,0%
Alzheimer disease,Alzheimer disease,35-44,2020,1,2,3,3,3,0,0,0,0,0,0%
Alzheimer disease,Alzheimer disease,45-54,2020,1,2,3,4,3,0,5,2,7,7,0%
Alzheimer disease,Alzheimer disease,55-64,2020,1,2,3,5,3,0,65,50,115,115,0%
Alzheimer disease,Alzheimer disease,65-74,2020,1,2,3,6,3,0,452,314,766,766,0%
Alzheimer disease,Alzheimer disease,75-84,2020,1,2,3,7,3,0,1879,1153,3032,3032,0%
Alzheimer disease,Alzheimer disease,85+,2020,1,2,3,8,3,0,5223,1979,7202,7202,0%
Circulatory diseases,Cardiac arrest,0-24,2020,1,3,4,1,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrest,25-34,2020,1,3,4,2,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrest,35-44,2020,1,3,4,3,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrest,45-54,2020,1,3,4,4,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrest,55-64,2020,1,3,4,5,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrest,65-74,2020,1,3,4,6,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrest,75-84,2020,1,3,4,7,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrest,85+,2020,1,3,4,8,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrhythmia,0-24,2020,1,3,5,1,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrhythmia,25-34,2020,1,3,5,2,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrhythmia,35-44,2020,1,3,5,3,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrhythmia,45-54,2020,1,3,5,4,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrhythmia,55-64,2020,1,3,5,5,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrhythmia,65-74,2020,1,3,5,6,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrhythmia,75-84,2020,1,3,5,7,4,0,0,0,0,0,0%
Circulatory diseases,Cardiac arrhythmia,85+,2020,1,3,5,8,4,0,0,0,0,0,0%
Circulatory diseases,Cerebrovascular diseases,0-24,2020,1,3,6,1,4,0,13,12,25,25,0%
Circulatory diseases,Cerebrovascular diseases,25-34,2020,1,3,6,2,4,0,28,35,63,63,0%
Circulatory diseases,Cerebrovascular diseases,35-44,2020,1,3,6,3,4,0,71,99,170,170,0%
Circulatory diseases,Cerebrovascular diseases,45-54,2020,1,3,6,4,4,0,214,283,497,497,0%
Circulatory diseases,Cerebrovascular diseases,55-64,2020,1,3,6,5,4,0,505,721,1226,1226,0%
Circulatory diseases,Cerebrovascular diseases,65-74,2020,1,3,6,6,4,0,1091,1228,2319,2319,0%
Circulatory diseases,Cerebrovascular diseases,75-84,2020,1,3,6,7,4,0,1983,1800,3783,3783,0%
Circulatory diseases,Cerebrovascular diseases,85+,2020,1,3,6,8,4,0,4106,1918,6024,6024,0%
Circulatory diseases,Heart failure,0-24,2020,1,3,10,1,2,0,50,69,119,119,0%
Circulatory diseases,Heart failure,25-34,2020,1,3,10,2,2,0,100,229,329,329,0%
Circulatory diseases,Heart failure,35-44,2020,1,3,10,3,2,0,299,673,972,972,0%
Circulatory diseases,Heart failure,45-54,2020,1,3,10,4,2,0,810,1930,2740,2740,0%
Circulatory diseases,Heart failure,55-64,2020,1,3,10,5,2,0,2305,5174,7479,7479,0%
Circulatory diseases,Heart failure,65-74,2020,1,3,10,6,2,0,4205,7494,11699,11699,0%
Circulatory diseases,Heart failure,75-84,2020,1,3,10,7,2,0,6410,8132,14542,14542,0%
Circulatory diseases,Heart failure,85+,2020,1,3,10,8,2,0,13669,9325,22994,22994,0%
Circulatory diseases,Hypertensive diseases,0-24,2020,1,3,11,1,4,0,0,0,0,0,0%
Circulatory diseases,Hypertensive diseases,25-34,2020,1,3,11,2,4,0,0,0,0,0,0%
Circulatory diseases,Hypertensive diseases,35-44,2020,1,3,11,3,4,0,0,0,0,0,0%
Circulatory diseases,Hypertensive diseases,45-54,2020,1,3,11,4,4,0,0,0,0,0,0%
Circulatory diseases,Hypertensive diseases,55-64,2020,1,3,11,5,4,0,0,0,0,0,0%
Circulatory diseases,Hypertensive diseases,65-74,2020,1,3,11,6,4,0,0,0,0,0,0%
Circulatory diseases,Hypertensive diseases,75-84,2020,1,3,11,7,4,0,0,0,0,0,0%
Circulatory diseases,Hypertensive diseases,85+,2020,1,3,11,8,4,0,0,0,0,0,0%
Circulatory diseases,Ischemic heart disease,0-24,2020,1,3,14,1,2,0,0,0,0,0,0%
Circulatory diseases,Ischemic heart disease,25-34,2020,1,3,14,2,2,0,0,0,0,0,0%
Circulatory diseases,Ischemic heart disease,35-44,2020,1,3,14,3,2,0,0,0,0,0,0%
Circulatory diseases,Ischemic heart disease,45-54,2020,1,3,14,4,2,0,0,0,0,0,0%
Circulatory diseases,Ischemic heart disease,55-64,2020,1,3,14,5,2,0,0,0,0,0,0%
Circulatory diseases,Ischemic heart disease,65-74,2020,1,3,14,6,2,0,0,0,0,0,0%
Circulatory diseases,Ischemic heart disease,75-84,2020,1,3,14,7,2,0,0,0,0,0,0%
Circulatory diseases,Ischemic heart disease,85+,2020,1,3,14,8,2,0,0,0,0,0,0%
Circulatory diseases,Other diseases of the circulatory system,0-24,2020,1,3,17,1,2,0,0,0,0,0,0%
Circulatory diseases,Other diseases of the circulatory system,25-34,2020,1,3,17,2,2,0,0,0,0,0,0%
Circulatory diseases,Other diseases of the circulatory system,35-44,2020,1,3,17,3,2,0,0,0,0,0,0%
Circulatory diseases,Other diseases of the circulatory system,45-54,2020,1,3,17,4,2,0,0,0,0,0,0%
Circulatory diseases,Other diseases of the circulatory system,55-64,2020,1,3,17,5,2,0,0,0,0,0,0%
Circulatory diseases,Other diseases of the circulatory system,65-74,2020,1,3,17,6,2,0,0,0,0,0,0%
Circulatory diseases,Other diseases of the circulatory system,75-84,2020,1,3,17,7,2,0,0,0,0,0,0%
Circulatory diseases,Other diseases of the circulatory system,85+,2020,1,3,17,8,2,0,0,0,0,0,0%
COVID-19,COVID-19,0-24,2020,1,4,8,1,5,0,1276,1522,2798,2798,0%
COVID-19,COVID-19,25-34,2020,1,4,8,2,5,0,798,1100,1898,1898,0%
COVID-19,COVID-19,35-44,2020,1,4,8,3,5,0,1842,2510,4352,4352,0%
COVID-19,COVID-19,45-54,2020,1,4,8,4,5,0,4750,6678,11428,11428,0%
COVID-19,COVID-19,55-64,2020,1,4,8,5,5,0,12591,18441,31032,31032,0%
COVID-19,COVID-19,65-74,2020,1,4,8,6,5,0,21803,28610,50413,50413,0%
COVID-19,COVID-19,75-84,2020,1,4,8,7,5,0,30092,31847,61939,61939,0%
COVID-19,COVID-19,85+,2020,1,4,8,8,5,0,48722,30323,79045,79045,0%
Diabetes,Diabetes,0-24,2020,1,5,9,1,6,0,11,21,32,32,0%
Diabetes,Diabetes,25-34,2020,1,5,9,2,6,0,27,53,80,80,0%
Diabetes,Diabetes,35-44,2020,1,5,9,3,6,0,97,156,253,253,0%
Diabetes,Diabetes,45-54,2020,1,5,9,4,6,0,213,378,591,591,0%
Diabetes,Diabetes,55-64,2020,1,5,9,5,6,0,528,868,1396,1396,0%
Diabetes,Diabetes,65-74,2020,1,5,9,6,6,0,895,1300,2195,2195,0%
Diabetes,Diabetes,75-84,2020,1,5,9,7,6,0,955,1146,2101,2101,0%
Diabetes,Diabetes,85+,2020,1,5,9,8,6,0,892,694,1586,1586,0%
"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",0-24,2020,1,6,13,1,7,0,0,0,0,0,0%
"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",25-34,2020,1,6,13,2,7,0,0,0,0,0,0%
