No_month,year,month,States,Sum_of_Series_Complete_Yes,Sum_of_Administered_Dose1_Pop_Pct,Sum_of_Series_Complete_Pop_Pct,Sum_of_Series_Complete_Janssen,Sum_of_Series_Complete_Moderna,Sum_of_Series_Complete_Pfizer,Sum_of_Administered_Janssen,Sum_of_Administered_Moderna,Sum_of_Administered_Pfizer,Personal_income_average_monthly,COVID_death_rate,COVID-19,Death
1,2020,3,Alabama,0,0.0000,0.0000,0,0,0,0,0,0,4212,0.0026,24,9158
1,2020,3,Alaska,0,0.0000,0.0000,0,0,0,0,0,0,4905,0.0000,0,552
1,2020,3,Arizona,0,0.0000,0.0000,0,0,0,0,0,0,4754,0.0048,52,10920
1,2020,3,Arkansas,0,0.0000,0.0000,0,0,0,0,0,0,4000,0.0000,0,4984
1,2020,3,California,0,0.0000,0.0000,0,0,0,0,0,0,6318,0.0058,279,48196
1,2020,3,Colorado,0,0.0000,0.0000,0,0,0,0,0,0,5560,0.0116,98,8472
1,2020,3,Connecticut,0,0.0000,0.0000,0,0,0,0,0,0,6522,0.0111,108,9706
1,2020,3,Delaware,0,0.0000,0.0000,0,0,0,0,0,0,5391,0.0000,0,1848
1,2020,3,Florida,0,0.0000,0.0000,0,0,0,0,0,0,4550,0.0049,177,36024
1,2020,3,Georgia,0,0.0000,0.0000,0,0,0,0,0,0,5009,0.0126,206,16294
1,2020,3,Hawaii,0,0.0000,0.0000,0,0,0,0,0,0,4472,0.0000,0,1648
1,2020,3,Idaho,0,0.0000,0.0000,0,0,0,0,0,0,3744,0.0000,0,2174
1,2020,3,Illinois,0,0.0000,0.0000,0,0,0,0,0,0,5633,0.0079,180,22828
1,2020,3,Indiana,0,0.0000,0.0000,0,0,0,0,0,0,4303,0.0089,113,12642
1,2020,3,Iowa,0,0.0000,0.0000,0,0,0,0,0,0,4242,0.0000,0,4806
1,2020,3,Kansas,0,0.0000,0.0000,0,0,0,0,0,0,4195,0.0000,0,4288
1,2020,3,Kentucky,0,0.0000,0.0000,0,0,0,0,0,0,4086,0.0000,0,8018
1,2020,3,Louisiana,0,0.0000,0.0000,0,0,0,0,0,0,4190,0.0356,394,11054
1,2020,3,Maine,0,0.0000,0.0000,0,0,0,0,0,0,4138,0.0000,0,2344
1,2020,3,Maryland,0,0.0000,0.0000,0,0,0,0,0,0,5538,0.0032,35,10874
1,2020,3,Massachusetts,0,0.0000,0.0000,0,0,0,0,0,0,6959,0.0071,123,17223
1,2020,3,Michigan,0,0.0000,0.0000,0,0,0,0,0,0,4775,0.0197,490,24909
1,2020,3,Minnesota,0,0.0000,0.0000,0,0,0,0,0,0,5343,0.0014,11,7684
1,2020,3,Mississippi,0,0.0000,0.0000,0,0,0,0,0,0,3475,0.0019,11,5696
1,2020,3,Missouri,0,0.0000,0.0000,0,0,0,0,0,0,4407,0.0011,12,11146
1,2020,3,Montana,0,0.0000,0.0000,0,0,0,0,0,0,3761,0.0000,0,1480
1,2020,3,Nebraska,0,0.0000,0.0000,0,0,0,0,0,0,4143,0.0000,0,2652
1,2020,3,Nevada,0,0.0000,0.0000,0,0,0,0,0,0,4472,0.0026,12,4556
1,2020,3,New Hampshire,0,0.0000,0.0000,0,0,0,0,0,0,5170,0.0000,0,2014
1,2020,3,New Jersey,0,0.0000,0.0000,0,0,0,0,0,0,6309,0.0205,697,33928
1,2020,3,New Mexico,0,0.0000,0.0000,0,0,0,0,0,0,4000,0.0000,0,3240
1,2020,3,New York,0,0.0000,0.0000,0,0,0,0,0,0,7336,0.0352,2867,81498
1,2020,3,North Carolina,0,0.0000,0.0000,0,0,0,0,0,0,4732,0.0000,0,16340
1,2020,3,North Dakota,0,0.0000,0.0000,0,0,0,0,0,0,4533,0.0000,0,1182
1,2020,3,Ohio,0,0.0000,0.0000,0,0,0,0,0,0,4606,0.0043,91,21390
1,2020,3,Oklahoma,0,0.0000,0.0000,0,0,0,0,0,0,4104,0.0031,20,6440
1,2020,3,Oregon,0,0.0000,0.0000,0,0,0,0,0,0,4775,0.0020,12,6126
1,2020,3,Pennsylvania,0,0.0000,0.0000,0,0,0,0,0,0,5092,0.0034,94,28042
1,2020,3,Rhode Island,0,0.0000,0.0000,0,0,0,0,0,0,4905,0.0000,0,2022
1,2020,3,South Carolina,0,0.0000,0.0000,0,0,0,0,0,0,3995,0.0028,24,8516
1,2020,3,South Dakota,0,0.0000,0.0000,0,0,0,0,0,0,3904,0.0000,0,1224
1,2020,3,Tennessee,0,0.0000,0.0000,0,0,0,0,0,0,4446,0.0019,23,12262
1,2020,3,Texas,0,0.0000,0.0000,0,0,0,0,0,0,5334,0.0024,84,34420
1,2020,3,Utah,0,0.0000,0.0000,0,0,0,0,0,0,4450,0.0000,0,3158
1,2020,3,Vermont,0,0.0000,0.0000,0,0,0,0,0,0,4247,0.0000,0,970
1,2020,3,Virginia,0,0.0000,0.0000,0,0,0,0,0,0,5343,0.0048,61,12642
1,2020,3,Washington,0,0.0000,0.0000,0,0,0,0,0,0,6119,0.0275,280,10182
1,2020,3,West Virginia,0,0.0000,0.0000,0,0,0,0,0,0,3917,0.0000,0,3678
1,2020,3,Wisconsin,0,0.0000,0.0000,0,0,0,0,0,0,4368,0.0025,23,9140
1,2020,3,Wyoming,0,0.0000,0.0000,0,0,0,0,0,0,4156,0.0000,0,754
2,2020,4,Alabama,0,0.0000,0.0000,0,0,0,0,0,0,4212,0.0290,332,11456
2,2020,4,Alaska,0,0.0000,0.0000,0,0,0,0,0,0,4905,0.0000,0,788
2,2020,4,Arizona,0,0.0000,0.0000,0,0,0,0,0,0,4754,0.0289,390,13472
2,2020,4,Arkansas,0,0.0000,0.0000,0,0,0,0,0,0,4000,0.0077,48,6252
2,2020,4,California,0,0.0000,0.0000,0,0,0,0,0,0,6318,0.0357,2017,56454
2,2020,4,Colorado,0,0.0000,0.0000,0,0,0,0,0,0,5560,0.0975,872,8946
2,2020,4,Connecticut,0,0.0000,0.0000,0,0,0,0,0,0,6522,0.2596,2455,9456
2,2020,4,Delaware,0,0.0000,0.0000,0,0,0,0,0,0,5391,0.0766,185,2414
2,2020,4,Florida,0,0.0000,0.0000,0,0,0,0,0,0,4550,0.0303,1311,43218
2,2020,4,Georgia,0,0.0000,0.0000,0,0,0,0,0,0,5009,0.0558,1073,19238
2,2020,4,Hawaii,0,0.0000,0.0000,0,0,0,0,0,0,4472,0.0000,0,2092
2,2020,4,Idaho,0,0.0000,0.0000,0,0,0,0,0,0,3744,0.0198,53,2672
2,2020,4,Illinois,0,0.0000,0.0000,0,0,0,0,0,0,5633,0.0874,2441,27926
2,2020,4,Indiana,0,0.0000,0.0000,0,0,0,0,0,0,4303,0.0753,1137,15096
2,2020,4,Iowa,0,0.0000,0.0000,0,0,0,0,0,0,4242,0.0252,166,6586
2,2020,4,Kansas,0,0.0000,0.0000,0,0,0,0,0,0,4195,0.0234,120,5138
2,2020,4,Kentucky,0,0.0000,0.0000,0,0,0,0,0,0,4086,0.0235,234,9968
2,2020,4,Louisiana,0,0.0000,0.0000,0,0,0,0,0,0,4190,0.1475,1626,11024
2,2020,4,Maine,0,0.0000,0.0000,0,0,0,0,0,0,4138,0.0170,46,2700
2,2020,4,Maryland,0,0.0000,0.0000,0,0,0,0,0,0,5538,0.0912,1277,13997
2,2020,4,Massachusetts,0,0.0000,0.0000,0,0,0,0,0,0,6959,0.2133,3922,18384
2,2020,4,Michigan,0,0.0000,0.0000,0,0,0,0,0,0,4775,0.1653,3623,21915
2,2020,4,Minnesota,0,0.0000,0.0000,0,0,0,0,0,0,5343,0.0378,387,10242
2,2020,4,Mississippi,0,0.0000,0.0000,0,0,0,0,0,0,3475,0.0390,289,7403
2,2020,4,Missouri,0,0.0000,0.0000,0,0,0,0,0,0,4407,0.0339,455,13422
2,2020,4,Montana,0,0.0000,0.0000,0,0,0,0,0,0,3761,0.0000,0,1784
2,2020,4,Nebraska,0,0.0000,0.0000,0,0,0,0,0,0,4143,0.0206,71,3452
2,2020,4,Nevada,0,0.0000,0.0000,0,0,0,0,0,0,4472,0.0413,221,5348
2,2020,4,New Hampshire,0,0.0000,0.0000,0,0,0,0,0,0,5170,0.0281,75,2668
2,2020,4,New Jersey,0,0.0000,0.0000,0,0,0,0,0,0,6309,0.3825,8988,23501
2,2020,4,New Mexico,0,0.0000,0.0000,0,0,0,0,0,0,4000,0.0357,154,4308
2,2020,4,New York,0,0.0000,0.0000,0,0,0,0,0,0,7336,0.5093,22171,43534
2,2020,4,North Carolina,0,0.0000,0.0000,0,0,0,0,0,0,4732,0.0219,441,20165
2,2020,4,North Dakota,0,0.0000,0.0000,0,0,0,0,0,0,4533,0.0000,0,1366
2,2020,4,Ohio,0,0.0000,0.0000,0,0,0,0,0,0,4606,0.0400,1059,26464
2,2020,4,Oklahoma,0,0.0000,0.0000,0,0,0,0,0,0,4104,0.0259,198,7646
2,2020,4,Oregon,0,0.0000,0.0000,0,0,0,0,0,0,4775,0.0139,101,7250
2,2020,4,Pennsylvania,0,0.0000,0.0000,0,0,0,0,0,0,5092,0.1090,3498,32106
2,2020,4,Rhode Island,0,0.0000,0.0000,0,0,0,0,0,0,4905,0.1137,344,3026
2,2020,4,South Carolina,0,0.0000,0.0000,0,0,0,0,0,0,3995,0.0220,233,10592
2,2020,4,South Dakota,0,0.0000,0.0000,0,0,0,0,0,0,3904,0.0000,0,1498
2,2020,4,Tennessee,0,0.0000,0.0000,0,0,0,0,0,0,4446,0.0113,171,15110
2,2020,4,Texas,0,0.0000,0.0000,0,0,0,0,0,0,5334,0.0219,930,42464
2,2020,4,Utah,0,0.0000,0.0000,0,0,0,0,0,0,4450,0.0087,33,3800
2,2020,4,Vermont,0,0.0000,0.0000,0,0,0,0,0,0,4247,0.0201,22,1094
2,2020,4,Virginia,0,0.0000,0.0000,0,0,0,0,0,0,5343,0.0486,752,15468
2,2020,4,Washington,0,0.0000,0.0000,0,0,0,0,0,0,6119,0.0473,537,11354
2,2020,4,West Virginia,0,0.0000,0.0000,0,0,0,0,0,0,3917,0.0103,46,4452
2,2020,4,Wisconsin,0,0.0000,0.0000,0,0,0,0,0,0,4368,0.0274,300,10962
2,2020,4,Wyoming,0,0.0000,0.0000,0,0,0,0,0,0,4156,0.0000,0,782
3,2020,5,Alabama,0,0.0000,0.0000,0,0,0,0,0,0,4212,0.0468,426,9104
3,2020,5,Alaska,0,0.0000,0.0000,0,0,0,0,0,0,4905,0.0000,0,620
3,2020,5,Arizona,0,0.0000,0.0000,0,0,0,0,0,0,4754,0.0408,492,12058
3,2020,5,Arkansas,0,0.0000,0.0000,0,0,0,0,0,0,4000,0.0114,61,5344
3,2020,5,California,0,0.0000,0.0000,0,0,0,0,0,0,6318,0.0502,2236,44544
3,2020,5,Colorado,0,0.0000,0.0000,0,0,0,0,0,0,5560,0.0668,451,6752
3,2020,5,Connecticut,0,0.0000,0.0000,0,0,0,0,0,0,6522,0.3083,1523,4940
